Mac Prefix,Vendor Name,Private,Block Type,Last Update
94:B5:55,Espressif Inc.,false,MA-L,2021/11/30
70:04:1D,Espressif Inc.,false,MA-L,2021/11/30
F4:12:FA,Espressif Inc.,false,MA-L,2021/12/07
C0:49:EF,Espressif Inc.,false,MA-L,2021/12/07
B8:D6:1A,Espressif Inc.,false,MA-L,2022/01/20
0C:8B:95,Espressif Inc.,false,MA-L,2022/01/20
C4:DE:E2,Espressif Inc.,false,MA-L,2022/01/22
68:B6:B3,Espressif Inc.,false,MA-L,2022/01/22
54:43:B2,Espressif Inc.,false,MA-L,2022/01/27
EC:62:60,Espressif Inc.,false,MA-L,2022/01/27
C8:F0:9E,Espressif Inc.,false,MA-L,2022/02/02
DC:54:75,Espressif Inc.,false,MA-L,2022/02/02
A0:B7:65,Espressif Inc.,false,MA-L,2022/03/15
CC:DB:A7,Espressif Inc.,false,MA-L,2022/03/15
B4:8A:0A,Espressif Inc.,false,MA-L,2022/04/01
C0:4E:30,Espressif Inc.,false,MA-L,2022/04/01
A8:42:E3,Espressif Inc.,false,MA-L,2022/04/08
3C:E9:0E,Espressif Inc.,false,MA-L,2022/04/08
34:85:18,Espressif Inc.,false,MA-L,2022/04/14
48:27:E2,Espressif Inc.,false,MA-L,2022/04/14
40:22:D8,Espressif Inc.,false,MA-L,2022/04/21
08:B6:1F,Espressif Inc.,false,MA-L,2022/04/21
80:64:6F,Espressif Inc.,false,MA-L,2022/05/11
E0:5A:1B,Espressif Inc.,false,MA-L,2022/05/11
48:E7:29,Espressif Inc.,false,MA-L,2022/07/27
08:3A:8D,Espressif Inc.,false,MA-L,2022/07/27
EC:DA:3B,Espressif Inc.,false,MA-L,2022/08/04
64:E8:33,Espressif Inc.,false,MA-L,2022/08/04
D4:D4:DA,Espressif Inc.,false,MA-L,2022/08/11
84:FC:E6,Espressif Inc.,false,MA-L,2022/08/11
34:98:7A,Espressif Inc.,false,MA-L,2022/11/28
A0:A3:B3,Espressif Inc.,false,MA-L,2022/11/28
40:4C:CA,Espressif Inc.,false,MA-L,2022/12/07
64:B7:08,Espressif Inc.,false,MA-L,2022/12/07
B0:A7:32,Espressif Inc.,false,MA-L,2022/12/14
B0:B2:1C,Espressif Inc.,false,MA-L,2022/12/14
48:31:B7,Espressif Inc.,false,MA-L,2023/02/16
54:32:04,Espressif Inc.,false,MA-L,2023/02/16
08:F9:E0,Espressif Inc.,false,MA-L,2023/02/23
24:DC:C3,Espressif Inc.,false,MA-L,2023/02/23
FC:B4:67,Espressif Inc.,false,MA-L,2023/04/14
D8:BC:38,Espressif Inc.,false,MA-L,2023/04/14
34:B7:DA,Espressif Inc.,false,MA-L,2023/04/24
08:D1:F9,Espressif Inc.,false,MA-L,2023/04/24
D4:8A:FC,Espressif Inc.,false,MA-L,2023/06/02
E4:65:B8,Espressif Inc.,false,MA-L,2023/06/02
C8:2E:18,Espressif Inc.,false,MA-L,2023/06/08
E8:6B:EA,Espressif Inc.,false,MA-L,2023/06/08
30:30:F9,Espressif Inc.,false,MA-L,2023/06/15
DC:DA:0C,Espressif Inc.,false,MA-L,2023/06/15
7C:73:98,Espressif Inc.,false,MA-L,2023/06/22
6C:B4:56,Espressif Inc.,false,MA-L,2023/06/22
10:06:1C,Espressif Inc.,false,MA-L,2023/06/30
74:4D:BD,Espressif Inc.,false,MA-L,2023/06/30
D8:13:2A,Espressif Inc.,false,MA-L,2023/08/23
30:C9:22,Espressif Inc.,false,MA-L,2023/08/23
3C:84:27,Espressif Inc.,false,MA-L,2023/09/20
80:65:99,Espressif Inc.,false,MA-L,2023/09/20
EC:64:C9,Espressif Inc.,false,MA-L,2023/11/02
F0:F5:BD,Espressif Inc.,false,MA-L,2023/11/02
FC:E8:C0,Espressif Inc.,false,MA-L,2023/11/10
CC:7B:5C,Espressif Inc.,false,MA-L,2023/11/10
24:58:7C,Espressif Inc.,false,MA-L,2023/12/08
CC:8D:A2,Espressif Inc.,false,MA-L,2023/12/08
14:2B:2F,Espressif Inc.,false,MA-L,2023/12/14
A0:DD:6C,Espressif Inc.,false,MA-L,2023/12/14
D0:EF:76,Espressif Inc.,false,MA-L,2023/12/21
C4:D8:D5,Espressif Inc.,false,MA-L,2023/12/21
48:CA:43,Espressif Inc.,false,MA-L,2023/12/28
18:8B:0E,Espressif Inc.,false,MA-L,2023/12/28
AC:15:18,Espressif Inc.,false,MA-L,2024/02/27
08:A6:F7,Espressif Inc.,false,MA-L,2024/02/27
2C:BC:BB,Espressif Inc.,false,MA-L,2024/03/06
EC:C9:FF,Espressif Inc.,false,MA-L,2024/03/06
9C:9E:6E,Espressif Inc.,false,MA-L,2024/03/12
E4:B0:63,Espressif Inc.,false,MA-L,2024/03/12
24:EC:4A,Espressif Inc.,false,MA-L,2024/03/18
1C:69:20,Espressif Inc.,false,MA-L,2024/03/18
88:13:BF,Espressif Inc.,false,MA-L,2024/03/22
34:5F:45,Espressif Inc.,false,MA-L,2024/03/22
F0:9E:9E,Espressif Inc.,false,MA-L,2024/03/28
E8:06:90,Espressif Inc.,false,MA-L,2024/03/28
78:EE:4C,Espressif Inc.,false,MA-L,2024/04/29
90:15:06,Espressif Inc.,false,MA-L,2024/04/29
D8:3B:DA,Espressif Inc.,false,MA-L,2024/05/03
7C:2C:67,Espressif Inc.,false,MA-L,2024/05/03
34:CD:B0,Espressif Inc.,false,MA-L,2024/05/10
C0:5D:89,Espressif Inc.,false,MA-L,2024/05/10
F0:24:F9,Espressif Inc.,false,MA-L,2024/06/10
94:54:C5,Espressif Inc.,false,MA-L,2024/06/10
98:3D:AE,Espressif Inc.,false,MA-L,2024/06/19
B0:81:84,Espressif Inc.,false,MA-L,2024/06/19
8C:BF:EA,Espressif Inc.,false,MA-L,2024/07/03
D4:8C:49,Espressif Inc.,false,MA-L,2024/07/03
A0:85:E3,Espressif Inc.,false,MA-L,2024/07/12
F8:B3:B7,Espressif Inc.,false,MA-L,2024/07/12
8C:4F:00,Espressif Inc.,false,MA-L,2024/07/23
E4:B3:23,Espressif Inc.,false,MA-L,2024/07/23
3C:8A:1F,Espressif Inc.,false,MA-L,2024/08/13
20:43:A8,Espressif Inc.,false,MA-L,2024/08/13
78:42:1C,Espressif Inc.,false,MA-L,2024/08/26
CC:BA:97,Espressif Inc.,false,MA-L,2024/08/26
DC:06:75,Espressif Inc.,false,MA-L,2024/09/04
DC:1E:D5,Espressif Inc.,false,MA-L,2024/09/04
F4:65:0B,Espressif Inc.,false,MA-L,2024/09/11
5C:01:3B,Espressif Inc.,false,MA-L,2024/09/11
28:37:2F,Espressif Inc.,false,MA-L,2024/09/27
30:ED:A0,Espressif Inc.,false,MA-L,2024/09/27
10:00:3B,Espressif Inc.,false,MA-L,2024/10/16
94:A9:90,Espressif Inc.,false,MA-L,2024/10/16
04:83:08,Espressif Inc.,false,MA-L,2024/10/29
B4:3A:45,Espressif Inc.,false,MA-L,2024/10/29
58:8C:81,Espressif Inc.,false,MA-L,2024/11/22
38:18:2B,Espressif Inc.,false,MA-L,2024/11/22
FC:01:2C,Espressif Inc.,false,MA-L,2024/12/17
EC:E3:34,Espressif Inc.,false,MA-L,2024/12/17
14:33:5C,Espressif Inc.,false,MA-L,2024/12/30
98:88:E0,Espressif Inc.,false,MA-L,2024/12/30
10:51:DB,Espressif Inc.,false,MA-L,2025/01/23
68:25:DD,Espressif Inc.,false,MA-L,2025/01/23
00:4B:12,Espressif Inc.,false,MA-L,2025/02/20
50:78:7D,Espressif Inc.,false,MA-L,2025/02/20
10:20:BA,Espressif Inc.,false,MA-L,2025/02/27
98:A3:16,Espressif Inc.,false,MA-L,2025/02/27
90:E5:B1,Espressif Inc.,false,MA-L,2025/03/04
78:1C:3C,Espressif Inc.,false,MA-L,2025/03/04
B8:F8:62,Espressif Inc.,false,MA-L,2025/03/08
6C:C8:40,Espressif Inc.,false,MA-L,2025/03/08
0C:4E:A0,Espressif Inc.,false,MA-L,2025/03/18
28:56:2F,Espressif Inc.,false,MA-L,2025/03/18
44:1D:64,Espressif Inc.,false,MA-L,2025/03/25
A8:46:74,Espressif Inc.,false,MA-L,2025/03/25
80:F3:DA,Espressif Inc.,false,MA-L,2025/04/17
80:B5:4E,Espressif Inc.,false,MA-L,2025/04/17
4C:C3:82,Espressif Inc.,false,MA-L,2025/04/23
10:B4:1D,Espressif Inc.,false,MA-L,2025/04/23
84:1F:E8,Espressif Inc.,false,MA-L,2025/05/09
D0:CF:13,Espressif Inc.,false,MA-L,2025/05/09
14:08:08,Espressif Inc.,false,MA-L,2025/05/21
88:57:21,Espressif Inc.,false,MA-L,2025/05/21
94:51:DC,Espressif Inc.,false,MA-L,2025/05/30
9C:13:9E,Espressif Inc.,false,MA-L,2025/05/30
58:E6:C5,Espressif Inc.,false,MA-L,2025/06/07
20:6E:F1,Espressif Inc.,false,MA-L,2025/06/07
DC:B4:D9,Espressif Inc.,false,MA-L,2025/06/20
68:FE:71,Espressif Inc.,false,MA-L,2025/06/20
48:F6:EE,Espressif Inc.,false,MA-L,2025/06/20
C0:CD:D6,Espressif Inc.,false,MA-L,2025/07/09
80:F1:B2,Espressif Inc.,false,MA-L,2025/07/09
20:E7:C8,Espressif Inc.,false,MA-L,2025/07/09
3C:DC:75,Espressif Inc.,false,MA-L,2025/07/11
00:70:07,Espressif Inc.,false,MA-L,2025/07/11
08:92:72,Espressif Inc.,false,MA-L,2025/07/11
E0:8C:FE,Espressif Inc.,false,MA-L,2025/08/07
D4:E9:F4,Espressif Inc.,false,MA-L,2025/08/07
1C:DB:D4,Espressif Inc.,false,MA-L,2025/08/07
88:56:A6,Espressif Inc.,false,MA-L,2025/08/15
D8:85:AC,Espressif Inc.,false,MA-L,2025/08/15
28:05:A5,Espressif Inc.,false,MA-L,2025/08/15
A4:F0:0F,Espressif Inc.,false,MA-L,2025/09/02
E8:F6:0A,Espressif Inc.,false,MA-L,2025/09/02
90:70:69,Espressif Inc.,false,MA-L,2025/09/02
B0:A6:04,Espressif Inc.,false,MA-L,2025/09/12
1C:C3:AB,Espressif Inc.,false,MA-L,2025/09/12
AC:EB:E6,Espressif Inc.,false,MA-L,2025/09/12
F4:2D:C9,Espressif Inc.,false,MA-L,2025/09/18
B0:CB:D8,Espressif Inc.,false,MA-L,2025/09/18
3C:0F:02,Espressif Inc.,false,MA-L,2025/09/18
E0:72:A1,Espressif Inc.,false,MA-L,2025/10/20
AC:A7:04,Espressif Inc.,false,MA-L,2025/10/20
30:76:F5,Espressif Inc.,false,MA-L,2025/10/20
70:4B:CA,Espressif Inc.,false,MA-L,2025/10/27
8C:FD:49,Espressif Inc.,false,MA-L,2025/10/27
38:44:BE,Espressif Inc.,false,MA-L,2025/10/27
44:1B:F6,Espressif Inc.,false,MA-L,2025/11/26
F8:5B:1B,Espressif Inc.,false,MA-L,2025/11/26
F0:16:1D,Espressif Inc.,false,MA-L,2025/11/26
A0:F2:62,Espressif Inc.,false,MA-L,2025/12/04
04:B2:47,Espressif Inc.,false,MA-L,2025/12/04
B4:BF:E9,Espressif Inc.,false,MA-L,2025/12/04
14:C1:9F,Espressif Inc.,false,MA-L,2025/12/09
E8:3D:C1,Espressif Inc.,false,MA-L,2025/12/09
48:9D:31,Espressif Inc.,false,MA-L,2025/12/09
88:F1:55,Espressif Inc.,false,MA-L,2026/01/09
AC:27:6E,Espressif Inc.,false,MA-L,2026/01/09
20:9B:A9,Espressif Inc.,false,MA-L,2026/01/09
8C:94:DF,Espressif Inc.,false,MA-L,2026/01/15
28:84:85,Espressif Inc.,false,MA-L,2026/01/15
A4:CB:8F,Espressif Inc.,false,MA-L,2026/01/15
8C:8C:29,Espressif Inc.,false,MA-L,2026/01/21
70:AF:09,Espressif Inc.,false,MA-L,2026/01/21
68:09:47,Espressif Inc.,false,MA-L,2026/01/21
1C:8F:57,Espressif Inc.,false,MA-L,2026/01/29
10:BD:A3,Espressif Inc.,false,MA-L,2026/01/29
14:63:93,Espressif Inc.,false,MA-L,2026/01/29
58:2A:BD,Espressif Inc.,false,MA-L,2026/02/27
90:64:9B,Espressif Inc.,false,MA-L,2026/02/27
9C:CC:01,Espressif Inc.,false,MA-L,2026/02/27
68:EE:8F,Espressif Inc.,false,MA-L,2026/03/05
C8:85:41,Espressif Inc.,false,MA-L,2026/03/05
44:B1:76,Espressif Inc.,false,MA-L,2026/03/05
